District,School Name,UDISE Code,School Management,School Category,Notification Uploaded,Trees Planted,Tree Uploaded
ETAWAH,GOVT UPS BIBAMAU,09310410926,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,61,Yes
ETAWAH,HINDU V INTER COLL JASWANT NAGAR,09310410933,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,66,Yes
ETAWAH,JANTA UMV NAGLA SALAHADI ETAWAH,09310410929,Government Aided,Secondary only (9–10),Yes,3,Yes
ETAWAH,JAWAHAR SINGH ISMARAK UMV KURSENA JASWANTNAGAR ETAWAH,09310407106,Private Unaided Recognized,Secondary only (9–10),No,5,Yes
ETAWAH,JODHA SINGH INT COLL HARKPUR ETAWA,09310410932,Government Aided,Primary to Higher Secondary (1–12),Yes,33,Yes
ETAWAH,KALPANA NAND GIRLS I.C. SHAHJAHANPUR LARKHAUR,09310410954,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,2,Yes
ETAWAH,KALYAN SINGH INTER COLLEGE NAGLA ASHROHI ETAWA,09310410945,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,4,Yes
ETAWAH,L. S. U.M.V. RAJMAU JASWANTNAGAR ETAWAH,09310406307,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,"MA DEVI BHOJESHWARI UMV NGLA BHIKHAN MALAJANI, ETAWAH",09310414002,Private Unaided Recognized,Secondary only (9–10),No,3,Yes
ETAWAH,MAA NARYANI INTER COLLEGE KACHAURA ROAD JASWANTNAGAR ETAWAH,09310410962,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,4,Yes
ETAWAH,MAHA RANI AVANTI GIRL UPS KHEDA ETAWA,09310410946,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,0,No
ETAWAH,PANCHSHEEL INTER COLLEGE SARAY BHUPAT ETAWAH,09310410106,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
ETAWAH,R D PATHAK INTER COLLEGE JAKHAN,09310410935,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,97,Yes
ETAWAH,R.S. KANNYA UMV JAMUNA BAG ETAWAH,09310412504,Private Unaided Recognized,Secondary only (9–10),No,2,Yes
ETAWAH,RAJA RAM UMV ASHROHI ETAWA,09310410955,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,2,Yes
ETAWAH,RAJIKIYA UCCATAR MADIMIK VIDHALYA  JASWANTNAGAR ,09310401104,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,10,Yes
ETAWAH,RAM JANKI VIDYA MANDIR UMV KAIST JASWANTNAGAR ETAWAH,09310406505,Private Unaided Recognized,Secondary only (9–10),No,4,Yes
ETAWAH,S G P V S INTER COLL BIJPURI KHEDA ETAWA,09310410927,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,56,Yes
ETAWAH,S MULAYAM SINGH INTER COLL RAINAGAR,09310410931,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,6,Yes
ETAWAH,S S INTER COLLEGE SISHAT ETAWAH,09310410938,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,16,Yes
ETAWAH,S.G.S. UMV KRISHNA NAGAR BIVAMAU,09310403203,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
ETAWAH,SANTI DAVI INTER COLL RAIL MANDI JASWANT NAGAR,09310410942,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,1,Yes
ETAWAH,SHRI PRATAP SINGH YADAV INTER COLLEGE NAGLA TAUR ETAWAH,09310410952,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,1,Yes
ETAWAH,"SNT. PITAR'S SCHOOL JASWANTNAGAR, ETAWAH",09310410956,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,3,Yes
ETAWAH,SUDITI GLOBAL ACEDMY NAGLA LALLU JASWANTNAGAR,09310408503,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
ETAWAH,ADARSH UPS ISWARI PURA ETAWA,09310211905,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,5,Yes
ETAWAH,AVM UM VIDHYALAY GULABPUR,09310204605,Private Unaided Recognized,Secondary only (9–10),No,2,Yes
ETAWAH,AWADH INTERNATIONAL ACADEMY SARAI NAROTTAM MAHEWA,09310210802,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,22,Yes
ETAWAH,BABU RAM SRASWATI GYANMANDIR INTER COLLEGE BAKEVAR ETAWA,09310221020,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,6,Yes
ETAWAH,BIHARI JI INTER COLLEGE AHARRIPUR,09310221005,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,26,Yes
ETAWAH,GALAXY PUBLIC SCHOOL LAKHNA ETAWAH,09310221104,Private Unaided Recognized,Secondary only (9–10),No,5,Yes
ETAWAH,GANDHI INTER COLLEGE LAVEDI,09310214302,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,9,Yes
ETAWAH,GOVT UMV LUDHIYANI,09310201706,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,132,Yes
ETAWAH,GURU KUL UPS MAHEVA ETAWA,09310221022,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,JANTA INTER COLLEGE BAKEWAR,09310221002,Government Aided,Upper Primary to Higher Secondary (6–12),No,14,Yes
ETAWAH,JANTA UPS KARUVA BUJURG ETAWA,09310221017,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
ETAWAH,K.S. MEMORIYAL INTER COLLEGE VYASPUR ETAWAH,09310210905,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,KALAWATI RAMPYARI GIRL'S INTER COLLEGE LAKHNA ETAWAH,09310221001,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,83,Yes
ETAWAH,KAMAL NAYAN MEMORIYAL HIGH SCHOOL LAKHNA ETAWAH,09310221009,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,3,Yes
ETAWAH,KISAN INTER COLLEGE BHOOLPUR,09310212402,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,3,Yes
ETAWAH,LOKMANYA RURAL INTER COLLEGE MAHEWA,09310221004,Government Aided,Upper Primary to Higher Secondary (6–12),No,5,Yes
ETAWAH,"LORD MOTHER PUBLIC SCHOOL BAKEWAR, ETAWAH",09310203619,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,3,Yes
ETAWAH,M V S PABLIC INTER COLL HARRAJ PUR,09310221014,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
ETAWAH,P R C INTER COLL NIVADI KALA ETAWA,09310221019,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,7,Yes
ETAWAH,R K P INTER COLLEGE LUDHIYANI ETAWAH,09310201707,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
ETAWAH,R. B. S. GREEN VALLEY SCHOOL LAKHNA ETAWAH,09310221103,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,5,Yes
ETAWAH,R.D.R.S  INTER COLLEGE BHITHARI KUNAITHA ETAWAH,09310202504,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,3,Yes
ETAWAH,RADHA K UMV N MOTIRAM NIWARI KALA,09310219403,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,4,Yes
ETAWAH,RADHA KIRSHN UPS LAKHNA,09310221010,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,4,Yes
ETAWAH,RADHE SHYAM INTER COLLEGE BARAUKH ETAWA,09310221018,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,RAM KISHAN SANSKRIT UMV RAMBAG LUDHIYANI,09310221006,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,4,Yes
ETAWAH,RISING SUN INTERNATIONAL SCHOOL BAKWAR ETAWAH,09310203622,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
ETAWAH,ROYAL HAPPY INTER COLLEGE LAKHNA ETAWAH,09310221023,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
ETAWAH,S.R.B.M.H.C. HIGH SCHOOL RAJPURA ETAWAH,09310206203,Private Unaided Recognized,Secondary only (9–10),No,1,Yes
ETAWAH,SHRI LALARAM YADAV INTER COLLEGE KHITORA URENG ETAWAH,09310202804,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,3,Yes
ETAWAH,SHRI RAMAUTAR SHIKSHAN SANSTHAN UMV NIVARI KALA,09310219404,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
ETAWAH,SHRI RAMSWAROOP PRAMODA DEVI UMV BHARAIPUR MAHEWA,09310202708,Private Unaided Recognized,Secondary only (9–10),No,2,Yes
ETAWAH,SOBHRAN SINGH INTER COLL CHANDRA PURA SALA ETAWA,09310221011,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,1,Yes
ETAWAH,SRI  RAM NARAYA UPS ISWARI PURA ETAWA,09310211906,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
ETAWAH,SRI RUKUM SINGH RAM BETI UPS NAO GAVA ETAWA,09310221012,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,1,Yes
ETAWAH,SRI VICHAR SHABHA SANSIRT MAHAVIDHYALA MADIR MAHEWA ETAWAH,09310205712,Government Aided,Primary to Higher Secondary (1–12),No,2,Yes
ETAWAH,SUKDEVI GIRLS UPS MAHEWA,09310221003,Government Aided,Upper Primary to Secondary (6–10),Yes,94,Yes
ETAWAH,VEER PIRTHAVI RAJ CHAUHAN UPS BAHADUR PUR  DHAR,09310202707,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,3,Yes
ETAWAH,VISHVNATH SINGH UPS LAKHNA,09310221101,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,5,Yes
ETAWAH,AMITAB BACHCHAN GOVT. INTER COLLEGE SAIFAI,09310601706,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,56,Yes
ETAWAH,C NATHU SINGH INTER COLL SAHASAR PUR ETAWA,09310601712,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,4,Yes
ETAWAH,GOVT GIRLS INTER COLLEGE SAIFAI,09310601722,Department of Education (Government School),Upper Primary to Higher Secondary (6–12),Yes,55,Yes
ETAWAH,GOVT UPS HARCHANDERPUR,09310601708,Department of Education (Government School),Secondary + Higher Secondary (9–12),No,26,Yes
ETAWAH,GOVT UPS NAGARIYA KUKPUR,09310601707,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,286,Yes
ETAWAH,K P RAMA NUJ DASH INTER COLL,09310601713,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
ETAWAH,KRISHNA UMV BARRA BAIDPURA ETAWAH,09314105456,Private Unaided Recognized,Secondary only (9–10),No,0,No
ETAWAH,LONG SHRI GYAN VIKAS PUBLIC HIGH SCHOOL KHARDULI ETAWAH,09310601714,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,1,Yes
ETAWAH,LORD SHRI KRISHNA PRATAP SINGH INTER COLLEGE PARASANA SAIFAI ETAWAH,09310605528,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
ETAWAH,MAJOR DHYANCHAND SPORTS COLLEGE SAIFAI ETAWAH,09310601724,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,4,Yes
ETAWAH,MULAYAM SIGH INTER COLL BHADEHI ETAWA,09310601710,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
ETAWAH,R K P SHKCA NIKETAN GURU SANDIPAN ASHARAN HEBARA,09310610804,Private Unaided Recognized,Secondary only (9–10),No,5,Yes
ETAWAH,RAM MANOHAR LOHIYA INTER COLL GIJA ETAWA,09310601711,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,3,Yes
ETAWAH,RAM SHRI INTER COLLEGE BAL BHADRAPUR HARDOI SAIFAI ETAWAH,09310601716,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,3,Yes
ETAWAH,RANVEER SINGH INTER COLLEGE PARSNA ETAWAH,09310601720,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,3,Yes
ETAWAH,RANVEER SINGH SMRITI VIDHYAPEETH UMV BAGHUIYA SAIFAI ETAWAH,09310609006,Private Unaided Recognized,Secondary only (9–10),No,0,No
ETAWAH,S S MOMO INTER SEFAI,09310601715,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,6,Yes
ETAWAH,S.S. MEMO. SR. SEC. P. SCHOOL SAIFAI,09310601723,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,21,Yes
ETAWAH,SARSWATI GYAN MANDIR (S.G.M. ) HARDOI SAIFAI ETAWAH,09310600106,Private Unaided Recognized,Upper Primary to Secondary (6–10),No,5,Yes
ETAWAH,SARVODAYA INTER COLLEGE LONPUR ETAWA,09310601709,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,52,Yes
ETAWAH,SHRI CHAUNI NATH SUGHAR SINGH UMV N MATTHIYA SAIFAI ETAWAH,09310606204,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
ETAWAH,SHRI SHYAM LAL INTER COLLEGE CHIMARA ETAWAH,09310602303,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,SRI MATI KAUSHALYA GIRL  UPS TIMRUVA,09310601717,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,4,Yes
ETAWAH,SRI MATI MURTI DAVI UPS BABUHIYA SAIFAIE,09310601718,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,2,Yes
ETAWAH,SW. SHRI ABHAY RAM YADAV BALIKA INTER COLLEGE HEONRA ETAWAH,09310610803,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,4,Yes
ETAWAH,Z.PANCHYAT INTER COLLAGE HENWARA,09310600907,Private Unaided Recognized,Primary to Higher Secondary (1–12),Yes,27,Yes
ETAWAH,AVDHUTANAND UMV HINDIPUR VIDPUR TAKHA ETAWAH,09310104003,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,3,Yes
ETAWAH,BALVANT SINGH BODH INTER COLLEGE BADKANSHAPUR,09310108103,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,6,Yes
ETAWAH,C J S INTER COLL SUTIYANI,09310112402,Government Aided,Primary to Higher Secondary (1–12),Yes,9,Yes
ETAWAH,CH SONELAL MALTI DEVI UMV PRAKASHNAGAR PANCHI PUNJA ETAWAH,09310102102,Private Unaided Recognized,Secondary only (9–10),No,5,Yes
ETAWAH,GOVT. HIGHER SECONDARYSCHOOL,09310105506,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,22,Yes
ETAWAH,JAY GURUDEV INTER COLLEGE NAGALA BHANWAR PUNJA ETAWAH,09310112420,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
ETAWAH,KISHAN UPS PURELA,09310112413,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,2,Yes
ETAWAH,L S R INTER COLL SARSAINAWAR,09310112407,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,9,Yes
ETAWAH,LAL SINGH BHAU PUR,09310112423,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
ETAWAH,MATESWARI MURTI DAVI GILR INTER NAGLA KHEMI,09310112412,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,3,Yes
ETAWAH,NANDRAM RAMCHANDRA UMV NANDGAON KATHOTIYA TAKHA ETAWAH,09310106604,Private Unaided Recognized,Secondary only (9–10),No,7,Yes
ETAWAH,NETA JI SUBHASH INTER COLL RORA,09310112410,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,5,Yes
ETAWAH,P BABURAM MISHRA INTER COLL BAMHANIPUR,09310112405,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,1,Yes
ETAWAH,PARCHAR VIDYAPED UPS SAMTHAR,09310112403,Government Aided,Secondary only (9–10),No,8,Yes
ETAWAH,RAM SWAROOP DAFEDAR SINGH UPS NAGLA HASE ETAWA,09310112421,Private Unaided Recognized,Secondary only (9–10),No,2,Yes
ETAWAH,RAMKALI UMV AMTHARI SAMTHAR TAKHA ETAWAH,09310112408,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,3,Yes
ETAWAH,RATANI DAVI INTER COLLEGE CHIRAIYA PUR,09310106005,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,4,Yes
ETAWAH,ROHIT RAO UMV HINDUPUR ETAWAH,09310112803,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,4,Yes
ETAWAH,S A N INTER COLLEGE TIRKHI TIRLOKPUR ETAWAH,09310100604,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
ETAWAH,S A N UMV FOOLSAHYANAGAR TIRKHI TIRLOKPUR ETAWAH,09310100605,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,1,Yes
ETAWAH,S I GANDHI INTER COLL KHARAGPUR SARAIYA,09310112406,Government Aided,Primary to Higher Secondary (1–12),Yes,11,Yes
ETAWAH,S S MEMO UPS PURAN PUR,09310112409,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,SAINIK HIGHER SECONDARY SCHOOL KARRI PULIYA TAKHA ETAWAH,09310100607,Private Unaided Recognized,Secondary only (9–10),No,0,No
ETAWAH,SANTI NIKETAN UMV KUDRAIL ETAWAH,09310112404,Government Aided,Secondary only (9–10),No,2,Yes
ETAWAH,SHANTI PUBLIC SCHOOL NAGRIYA SARAWA TAKHA ETAWAH,09310104903,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
ETAWAH,SHRI BALWANT SHAHEED INTER COLLEGE NAGARIYA,09310104504,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,2,Yes
ETAWAH,SHRI JAGANNATH PRASAD UMV SAMTAR,09310102712,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,3,Yes
ETAWAH,SHRI KAYAM SINGH RAMA DEVI UMV NAGLA PACHAYAN TAKHA ETAWAH,09310102806,Private Unaided Recognized,Secondary only (9–10),No,3,Yes
ETAWAH,SRI DINANATH BAUDH UMV TIPATIYA ETAWA,09310112702,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,1,Yes
ETAWAH,ST VIVEKANAND M. P. INTER COLLAGE USRAHAR,09310108012,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,7,Yes
ETAWAH,SWAMI AU DUTA NAND INTER COLL USHRAR,09310112414,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
ETAWAH,SWAMI AUDUTANAND UMV GAHRUA MAMAN ETAWAH,09310112419,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
ETAWAH,TARA VATI UPS USHRAHAR ETAWA,09310112416,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,3,Yes
ETAWAH,VIDYA VATI ADARAS INTER PALAN ADDA USHRARHAR,09310112422,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,5,Yes
ETAWAH,ZILA PANCHAYAT UMV SARSAINAWAR ETAWAH,09310112401,Government Aided,Secondary only (9–10),Yes,11,Yes
FAIZABAD,ADARSH CONVENT PUBLIC SCHOOL,09470112304,Private Unaided Recognized,Secondary only (9–10),Yes,8,Yes
FAIZABAD,"ASHA DEVI BALIKA H.S., PITHLA",09470107104,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
FAIZABAD,"BABA SWAMINATH DAS HSS., BAGHA",09470108004,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
FAIZABAD,BALDEV ISMARAK INTER COLLEGE AKMA KUMARGANJ AYODHYA,09470100113,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,0,No
FAIZABAD,BLOOMING BUD PUBLIC SCHOOL ,09470100114,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
FAIZABAD,DESH BANDHU U. MADYAMIK VIDYALAYA ORWACHIRKI,09470101306,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
FAIZABAD,DR BHEEMRAO AMBEDKAR UMV BAKAULI FAIZABAD,09470101406,Private Unaided Recognized,Secondary only (9–10),No,1,Yes
FAIZABAD,"GAYATRI VIDYA MANDIR SS, SHIVN",09470108408,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
FAIZABAD,"GOVERNMENT BALIKA INTER COLLEGE, GAHNAG",09470103101,Department of Education (Government School),Upper Primary + Secondary (6–10),Yes,75,Yes
FAIZABAD,GOVERNMENT HIGH SCHOOL MANUDEEH,09470109407,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,73,Yes
FAIZABAD,GOVT GIRLS HIGHER SECONDARY SCHOOL,09470103603,Department of Education (Government School),Secondary + Higher Secondary (9–12),Yes,59,Yes
FAIZABAD,"JAI ABLA JAGJIWAN Inter College,  RAUTAWAN",09470110807,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,MAA GAYTRI ASHA DEVI ISMARAK INTER COLLEGE MEHNDI AMANIGANJ AYODHYA,09470103706,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,MAA KAMKHYA DEVI SHISKSHAN SANSTHAN INTER COLLEGE CHANDAURA AMANIGANJ AYODHYA,09470103707,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,MAA MAHAKALI BHALE SULTAN INTER COLLEGE,09470100207,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
FAIZABAD,MAHANT LALDAS INTER COLLEGE,09470106007,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,60,Yes
FAIZABAD,MAHARANI SUKHMATA HIGHER SECONDARY SCHOOL BANSGAON,09470102304,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,MAHATMA GANDHI INTER COLLEGE,09470105205,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,23,Yes
FAIZABAD,MAHATMA JAGJIWAN SAHAB INTER COLLEGE,09470104603,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,5,Yes
FAIZABAD,NARENDRA DEVA DAV PUBLIC SCHOOL KUMARGANJ,09470108417,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
FAIZABAD,PREMA DEVI GIRLS INTER COLLAGE,09470102608,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,PT HARIDWAR MISHRA INTER COLLEGE DHEMA AMANIGANJ AYODHYA,09470100105,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,Pandit Lakhandutt Smarak Secondary School,09470110809,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,RAJ DATT SHUKL UCHTAR MADHAYAMIK VIDYALAY ADILPUR FAIZABAD,09470100606,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,0,No
FAIZABAD,RAJBAKAS RAMNIHAL SECONDARYSCHOOL,09470110208,Private Unaided Recognized,Secondary + Higher Secondary (9–12),No,0,No
FAIZABAD,RAJDUT SHUKLA I.C. SARAULI,09470110902,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,1,Yes
FAIZABAD,RAJDUTT SHUKLA BABURAM HAUSILA PRASAD MAHILA SICHAD SANSTHAN SHIVNAGAR AMANIGANJ FAIZABAD,09470110904,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,2,Yes
FAIZABAD,RAM CHARAN INTER COLLEGE,09470103406,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,110,Yes
FAIZABAD,RAM KRISHAN RAJ DULARI INTER COLLEGE MISRAULI,09470109902,Private Unaided Recognized,Secondary only (9–10),No,0,No
FAIZABAD,RAM NEWAJ SINGH INTER COLLAGE,09470100112,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,RAM NIDHI UMV KARIYA KA PURWA CHAURAHA  AMANIGANJ FAIZABAD,09470102414,Private Unaided Recognized,Secondary only (9–10),No,0,No
FAIZABAD,RAM SARDAR PANDEY SMARAK IC,09470102609,Government Aided,Upper Primary + Secondary (6–10),No,2,Yes
FAIZABAD,RASHTRIYA VIDYAPEETH I C,09470107105,Government Aided,Upper Primary to Higher Secondary (6–12),Yes,38,Yes
FAIZABAD,RK CHAURSIYA INTER COLLEGE KANDAI KALA AMANIGANJ FAIZABAD,09470102003,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,SAI SAVITRI MEMO. INTER COLLEGE RASSOLPUR,09470110308,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,"SANJAY SMARAK INTER COLLEGE,DILI SARAIYA",09470102909,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,12,Yes
FAIZABAD,"SANT B DAS RAMJAS I,C. MOHLI",09470110210,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,"SANT JAGARNATH HIGHER SECONDARY SCHOOL, BAGHAUR",09470108006,Private Unaided Recognized,Secondary + Higher Secondary (9–12),Yes,1,Yes
FAIZABAD,SANT PARAMHANSH GURUPRASAD GIRLI.C MOHLI,09470110209,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,7,Yes
FAIZABAD,SHANKAR NATH PUBLIC UMV  KOTIYA AMANIGANJ AYODHYA,09470102415,Private Unaided Recognized,Upper Primary to Secondary (6–10),Yes,18,Yes
FAIZABAD,SHIV SMARAK V.M. SECONDARY SCHOOL AKMA,09470100106,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,1,Yes
FAIZABAD,"SHRIRAM CHARAN SMARAK I.C., SHIVNAG. KUMARGANJ",09470108412,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,89,Yes
FAIZABAD,SMT SIYARAJI AN.S.T.O.PT.I.C.MOHLI,09470110211,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,3,Yes
FAIZABAD,SMT.DHANWATA MAURIYA GIRLS INTER COLLEGE,09470110307,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,SRI CHOTELAL SMARAK MAHADEV HIGHER SECONDARY SCHOOL,09470105801,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,32,Yes
FAIZABAD,SRI GAHANAG DEV SANSKRIT HSS,09470110715,Private Unaided Recognized,Primary to Higher Secondary (1–12),No,0,No
FAIZABAD,SRI HAUSILA PRASAD SUDEV SMARAK INTER COLLEGE,09470112202,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,12,Yes
FAIZABAD,SRI RAM JANKI BALIKA HIGHER SECONDARY SCHOOL,09470100502,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,36,Yes
FAIZABAD,"SRI RAM JANKI VIDYA MANDIR, GIRLS I.C.",09470106008,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,0,No
FAIZABAD,"SRI RAMJANKI INT COL. RAMNGR,A",09470112301,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),Yes,3,Yes
FAIZABAD,SRI YADU NATH TIWARI ADARSHA H S SCHOOL,09470100206,Private Unaided Recognized,Upper Primary to Higher Secondary (6–12),No,0,No
FAIZABAD,SUKHDEV KISHAAN INTER COLLEGE,09470107805,Private Unaided Recognized,Upper Primary + Secondary (6–10),Yes,6,Yes
FAIZABAD,Sri Madhav Prasad Jaiswal Secondary School,09470110712,Private Unaided Recognized,Upper Primary + Secondary (6–10),No,25,Yes
