#,School Name,District,Block Name,UDISE ID
108178,UPS BARIYARI,PRAYAGRAJ,BAHADURPUR,9450809001
108179,UPS BARJI,VARANASI,BARAGAON,9670200803
108180,UPS BARKA ( 1 TO 8 COMPOSITE SCHOOL),ALIGARH,CHANDAUS,9120708002
108181,UPS BARKASI COMPOSIT,AURAIYA,BIDHUNA,9320513801
108182,UPS BARKATPUR,BANDA,NARAINI,9400400305
108183,UPS BARKATPUR,ALIGARH,DHANIPUR,9120108202
108184,UPS BARKATPUR,BULANDSHAHR,PAHASU,9111405201
108185,UPS BARKHERA,RAMPUR,SHAHBAD,9050107604
108186,UPS BARKHERA,HAMIRPUR (U.P.),SARILA,9380700302
108187,UPS BARKHERA (COMPOSITE),JALAUN,KADAURA,9350304802
108188,UPS BARKHERA COMPOSITE (1 TO 8),KHERI,MOHAMMADI,9230703702
108189,UPS BARKHERA HASANGARHI,BULANDSHAHR,PAHASU,9111410002
108190,UPS BARKHERVA,KHERI,LAKHIMPUR,9230603602
108191,UPS BARKHERWA COMPOSITE (1TO8),SITAPUR,HARGAON,9240502902
108192,UPS BARKHURDARPUR,RAE BARELI,CHHATOH,9282402104
108193,UPS BARKULA,KASGANJ,SORON,9721504402
108194,UPS BARLA,ALIGARH,GANGIRI,9120400303
108195,UPS BARMOU,HATHRAS,SIKANDRA RAO,9130505206
108196,UPS BARNAI KESHOPUR,BAREILLY,BHUTA,9200308702
108197,UPS BARODA,BULANDSHAHR,SHIKARPUR,9110203702
108198,UPS BAROKHAR,PRAYAGRAJ,KORAON,9451000802
108199,UPS BAROLA JAFARABAD (1 to 8 Composite School),ALIGARH,LODHA,9121014202
108200,UPS BAROLI,ALIGARH,GANGIRI,9120401102
108201,UPS BAROLI,ALIGARH,JAWAN,9120601302
108202,UPS BAROSA COMPOSITE (1TO8),SITAPUR,HARGAON,9240504602
108203,UPS BAROUT,PRAYAGRAJ,HANDIA,9452000201
108204,UPS BAROY COMPOSITE (1TO8),SITAPUR,GONDLAMAU,9240415202
108205,UPS BARPARVA,SANT KABIR NAGAR,HAINSAR BAZAR,9561908902
108206,UPS BARRA,KANPUR NAGAR,KIDWAI NAGAR,9341601006
108207,UPS BARRA,ETAWAH,SAIFAI,9310607402
108208,UPS BARSAR (COMPOSITE),JALAUN,DAKOR,9350106502
108209,UPS BARSESI (COMPOSITE),JALAUN,KONCH,9350406402
108210,UPS BARSOHIYA COMPOSITE (1TO8),SITAPUR,KHAIRABAD,9240701801
108211,UPS BARTAL COMPOSITE (1TO8),SITAPUR,GONDLAMAU,9240413521
108212,UPS BARTHARI,ETAH,SHEETAL PUR,9171309202
108213,UPS BARUA KALINGER,BANDA,NARAINI,9400406203
