District,School,Block,UDISE ID,Saplings
AGRA,P.S FATEHPURA,ACCHNERA,09150200601,28
AGRA,J.H.S.FATEHPURA,ACCHNERA,09150200602,18
AGRA,J.H.S.GARHIMA (COMPOSITE),ACCHNERA,09150200702,3
AGRA,P.S GOBRA,ACCHNERA,09150200801,18
AGRA,J.H.S.GOBRA,ACCHNERA,09150200803,27
AGRA,J.H.S BHANDIRI (COMPOSITE),ACCHNERA,09150200805,18
AGRA,P.S BASAIYA RAJ,ACCHNERA,09150201001,11
AGRA,P.S ARRUA KHAS,ACCHNERA,09150201201,20
AGRA,J.H.S.ARRUA KHAS,ACCHNERA,09150201202,24
AGRA,SHRI BAINIRAM UMV ARDAYA ACHHNERA AGRA,,09150201209,11
AGRA,P.S NAGLA ARRUA,ACCHNERA,09150201301,5
AGRA,P.S ARDAYA,ACCHNERA,09150201401,1
AGRA,J.H.S.ARDAYA,ACCHNERA,09150201403,24
AGRA,P.S CHHAI POKHAR,ACCHNERA,09150201501,30
AGRA,J.H.S.CHHAI POKHAR,ACCHNERA,09150201502,18
AGRA,J.H.S.KIRRIYA (COMPOSITE),ACCHNERA,09150201602,2
AGRA,J.H.S.MANGRAUL JAT (COMPOSITE),ACCHNERA,09150201702,11
AGRA,J.H.S.JHARAUTHI,ACCHNERA,09150201802,1
AGRA,P.S TURKIYA,ACCHNERA,09150201901,2
AGRA,P.S PURAMANA-2,ACCHNERA,09150202002,9
AGRA,J.H.S.PURAMANA (COMPOSITE),ACCHNERA,09150202004,26
AGRA,J.H.S.DHANAULI (COMPOSITE),ACCHNERA,09150202102,17
AGRA,P.S GOPAU,ACCHNERA,09150202201,11
AGRA,J.H.S.GOPAU,ACCHNERA,09150202202,1
AGRA,J.H.S.ABHAIDOPURA (COMPOSITE),ACCHNERA,09150202302,34
AGRA,P.S KHERA VAKANDA,ACCHNERA,09150202401,12
AGRA,J.H.S.GUDHA (COMPOSITE),ACCHNERA,09150202502,21
AGRA,J.H.S.VAKANDA KHAS(COMPOSITE),ACCHNERA,09150202602,12
AGRA,J.H.S. VIDHYAPUR,ACCHNERA,09150202702,14
AGRA,P.S BHARANGARPUR,ACCHNERA,09150202801,8
AGRA,J.H.S.BHARANGARPUR,ACCHNERA,09150202802,7
AGRA,J.H.S.MORI (COMPOSITE),ACCHNERA,09150202902,15
AGRA,J.H.S.NAGLA SHYORAM,ACCHNERA,09150203002,3
AGRA,P.S RAIBHA-2,ACCHNERA,09150203102,25
AGRA,J.H.S.RAIBHA (COMPOSITE),ACCHNERA,09150203106,10
AGRA,P.P.NAGLA BUDDHA,ACCHNERA,09150203109,2
AGRA,RAJKIYA HIGH SCHOOL RAIBHA,ACCHNERA,09150203110,135
AGRA,P.S NAGLA LALDAS,ACCHNERA,09150203201,2
AGRA,P.S  JANUTHA,ACCHNERA,09150203301,5
AGRA,P.S SAHTA,ACCHNERA,09150203401,1
AGRA,J.H.S.SAHTA,ACCHNERA,09150203402,1
AGRA,P.S THAPI,ACCHNERA,09150203501,11
AGRA,J.H.S.RASULPUR SADAR (COMPOSITE),ACCHNERA,09150203602,3
AGRA,P.S SAHAEI,ACCHNERA,09150203701,1
AGRA,BAJRANGI VIDHYA MANDIR SAHAEI,ACCHNERA,09150203702,1
AGRA,P.S SAKATPUR,ACCHNERA,09150203801,1
AGRA,J.H.S.SAKATPUR,ACCHNERA,09150203802,14
AGRA,P.S MAHUAR-2,ACCHNERA,09150203902,12
AGRA,J.H.S.MAHUAR (COMPOSITE),ACCHNERA,09150203903,1
AGRA,J.H.S.PALI SADAR (COMPOSITE),ACCHNERA,09150204002,6
AGRA,P.S MAGURRA,ACCHNERA,09150204101,1
AGRA,P.P.NAGLA DHARA JEET,ACCHNERA,09150204103,24
AGRA,P.S KACHORA,ACCHNERA,09150204201,14
AGRA,J.H.S.KACHORA,ACCHNERA,09150204202,10
AGRA,P.S MAI,ACCHNERA,09150204301,29
AGRA,J.H.S.MAI,ACCHNERA,09150204302,1
AGRA,J.H.S KASAUTI (COMPOSITE),ACCHNERA,09150204304,23
AGRA,J.H.S NANAU,ACCHNERA,09150204305,24
AGRA,P.S NANAU,ACCHNERA,09150204401,27
AGRA,J.H.S.BASTAI (COMPOSITE),ACCHNERA,09150204602,50
AGRA,"GOVT. HIGH SCHOOL, BASTAI",ACCHNERA,09150204604,93
AGRA,P.S BABRAUD,ACCHNERA,09150204701,1
AGRA,J.H.S.BABRAUD,ACCHNERA,09150204702,4
AGRA,P.S MUBARIJPUR,ACCHNERA,09150204801,1
AGRA,P.S ANGANPURA,ACCHNERA,09150204901,12
AGRA,J.H.S.ANGANPURA,ACCHNERA,09150204902,15
AGRA,P.S KUKTHALA,ACCHNERA,09150205001,8
AGRA,J.H.S.KUKTHALA,ACCHNERA,09150205002,2
AGRA,P.S.NAGLA JATAV,ACCHNERA,09150205005,4
AGRA,BHARTIYA SHIKSHA SUDHAR SAMITI BHILAWATI KUKTHALA AGRA,ACCHNERA,09150205007,2
AGRA,J.H.S.KATHWARI (COMPOSITE),ACCHNERA,09150205102,1
AGRA,J.H.S.NAGAR (COMPOSITE),ACCHNERA,09150205203,6
AGRA,P.S ATOOS-1,ACCHNERA,09150205301,4
AGRA,J.H.S.ATOOS (COMPOSITE),ACCHNERA,09150205303,5
AGRA,P.S MURENDA,ACCHNERA,09150205401,6
AGRA,J.H.S.MURENDA,ACCHNERA,09150205402,12
AGRA,J.H.S.RAIPURA AHEER (COMPOSITE),ACCHNERA,09150205502,16
AGRA,P.S BHILAWATI,ACCHNERA,09150205601,18
AGRA,J.H.S. BHILAWATI,ACCHNERA,09150205602,9
AGRA,J.H.S.KHADWAI (COMPOSITE),ACCHNERA,09150205702,19
AGRA,P.S RUNKUTA-1,ACCHNERA,09150205801,7
AGRA,P.S RUNKUTA-2,ACCHNERA,09150205802,3
AGRA,J.H.S. RUNKUTA-I,ACCHNERA,09150205803,44
AGRA,J.H.S.RUNKUTA-II,ACCHNERA,09150205804,30
AGRA,MAHA KAVI SOOR SMARAK INTER COLLEGE,ACCHNERA,09150205807,7
AGRA,P.S NAGLA MURLI,ACCHNERA,09150205901,2
AGRA,J.H.S.LOHKARERA (COMPOSITE),ACCHNERA,09150206002,6
AGRA,P.S PANWARI,ACCHNERA,09150206101,34
AGRA,J.H.S.PANWARI,ACCHNERA,09150206102,7
AGRA,P.S AKBARA,ACCHNERA,09150206201,22
AGRA,J.H.S.AKBARA,ACCHNERA,09150206202,20
