#,School Name,District,Block Name,School Type,UDISE ID
34312,P S GOHNARPUR,AMBEDKAR NAGAR,RAMNAGAR,N/A,9480812901
34313,P S GOKHA,BALLIA,NAGARA,N/A,9630209608
34314,P S GOKILPUR,BAREILLY,SHERGARH,N/A,9200908101
34315,P S GOKILPUR,BAREILLY,KYARA,N/A,9200806601
34316,P S GOKUL PUR,ETAH,NIDHAULI KALAN,N/A,9170906101
34317,P S GOKULA,PRATAPGARH,SADWA-CHANDRIKA,N/A,9431516101
34318,P S GOKULPATTI,BHADOI,ABHOLI,N/A,9710700601
34319,P S GOKULPUR,BAHRAICH,MIHIN PURVA,N/A,9501114501
34320,P S GOKULPUR,AMBEDKAR NAGAR,BASKHARI,N/A,9480200701
34321,P S GOKULPUR,BAHRAICH,NAWAB GANJ,N/A,9501213401
34322,P S GOLAHNA,BAHRAICH,MIHIN PURVA,N/A,9501105801
34323,P S GOLAPUR,PRATAPGARH,BABA BHELKHARNATH,N/A,9431913501
34324,P S GOLHAIPUR,AMBEDKAR NAGAR,JAHANGIRGANJ,N/A,9480702601
34325,P S GONTHA - 1,MAU,DOHRIGHAT,N/A,9620300801
34326,P S GONTHA - 2,MAU,DOHRIGHAT,N/A,9620300802
34327,P S GOODARA GANJ,KASGANJ,SAHAVAR,N/A,9721106601
34328,P S GOPADANDI,BAREILLY,RICHHA(DAMKHODA),N/A,9200510301
34329,P S GOPAL NAGAR NO.1,BALLIA,REVATI,N/A,9631005201
34330,P S GOPAL NAGAR NO.2,BALLIA,REVATI,N/A,9631005202
34331,P S GOPAL PUR,ETAH,JALESAR,N/A,9170609801
34332,P S GOPALAPUR,PRATAPGARH,BABAGANJ,N/A,9430201801
34333,P S GOPALAPUR,PRATAPGARH,SADAR,N/A,9431301601
34334,P S GOPALAPUR,PRATAPGARH,MANDHATA,N/A,9431001801
34335,P S GOPALPUKALA,BALLIA,BERUARBARI,N/A,9630805801
34336,P S GOPALPUR,KASGANJ,SIDHPURA,N/A,9721405401
34337,P S GOPALPUR,BALLIA,BAIRIA,N/A,9631603201
34338,P S GOPALPUR,BAREILLY,BHADPURA,N/A,9200603301
34339,P S GOPALPUR,BAREILLY,FARIDPUR,N/A,9201504901
34340,P S GOPALPUR,BAREILLY,RICHHA(DAMKHODA),N/A,9200508701
34341,P S GOPALPUR,PRATAPGARH,AASPUR-DEOSARA,N/A,9430102201
34342,P S GOPALPUR,AMBEDKAR NAGAR,JAHANGIRGANJ,N/A,9480712703
34343,P S GOPALPUR,AMBEDKAR NAGAR,RAMNAGAR,N/A,9480804901
34344,P S GOPALPUR,BAHRAICH,NAWAB GANJ,N/A,9501203901
34345,P S GOPALPUR,MAU,RANIPUR,N/A,9620601902
34346,P S GOPALPUR,AMBEDKAR NAGAR,BHIYAON,N/A,9480410902
34347,P S GOPALPUR JHANSA,BAHRAICH,CHITTAURA,N/A,9500808901
34348,P S GOPALPUR NISKHI,MAU,FATEHPUR MANDAON,N/A,9620804903
34349,P S GOPAULI,SITAPUR,GONDLAMAU,N/A,9240413502
34350,P S GOPCHAND PUR,BAHRAICH,TAJWA PUR,N/A,9500706501
34351,P S GOPIGANJ 1,BHADOI,GYANPUR,N/A,9710221602
34352,P S GOPPUR,BHADOI,AURAI,N/A,9710421801
34353,P S GOPPUR GOBARI,BALLIA,SEAR,N/A,9630112301
34354,P S GORACHAM,ETAH,ALIGANJ,N/A,9170113201
34355,P S GORAHIA NO-4,BAHRAICH,KAISER GANJ,N/A,9500204401
34356,P S GORHA (C),KASGANJ,SORON,N/A,9721503901
34357,P S GORHI AKHOP,BALLIA,SEAR,N/A,9630105006
34358,P S GOSAI GAON,BAHRAICH,MIHIN PURVA,N/A,9501109901
34359,P S GOSAI KA PURWA,PRATAPGARH,BIHAR,N/A,9430302204
34360,P S GOSAI TOLA,BALLIA,BAIRIA,N/A,9631603912
34361,P S GOSAI TOLA NARNI,BALLIA,RASARA,N/A,9630305703
34362,P S GOSAIPUR,BALLIA,BANSDEEH,N/A,9630911001
34363,P S GOSAIPUR,PRATAPGARH,LAXMANPUR,N/A,9430901501
34364,P S GOSHAI KA POORA,AMBEDKAR NAGAR,BHEETI,N/A,9480312101
34365,P S GOSHAI KA POORA,AMBEDKAR NAGAR,BHIYAON,N/A,9480404808
34366,P S GOSHAL PURA,ETAH,JAITHARA,N/A,9170509801
34367,P S GOSHALPURA,ETAH,JAITHARA,N/A,9170505305
34368,P S GOTHA,BAREILLY,RICHHA(DAMKHODA),N/A,9200508101
34369,P S GOTHAI,BALLIA,NAGARA,N/A,9630207301
34370,P S GOTHULI NO.1,BALLIA,HANUMANGANJ,N/A,9631302901
34371,P S GOTHULI NO.2,BALLIA,HANUMANGANJ,N/A,9631302902
34372,P S GOTHWA,PRATAPGARH,SADWA-CHANDRIKA,N/A,9431506703
34373,P S GOTNI,PRATAPGARH,KUNDA,N/A,9430701701
34374,P S GOUHANIYA,AMBEDKAR NAGAR,TANDA,N/A,9480906001
34375,P S GOURA GOOJAR,AMBEDKAR NAGAR,TANDA,N/A,9480910801
34376,P S GOURA KABIRAHA,AMBEDKAR NAGAR,BHIYAON,N/A,9480402401
34377,P S GOUSPUR,AMBEDKAR NAGAR,AKBARPUR,N/A,9480109601
34378,P S GOUTIYA SILI,BAREILLY,BAHERI,N/A,9201404306
34379,P S GOVIND PUR,BALLIA,BAIRIA,N/A,9631606301
34380,P S GOVIND PUR,BAHRAICH,MAHSI,N/A,9500401201
34381,P S GOVINDAPUR,BAHRAICH,NAWAB GANJ,N/A,9501207501
34382,P S GOVINDGARH,GAUTAM BUDDHA NAGAR,JEWAR,N/A,9100404901
34383,P S GOVINDPUR,BAREILLY,FARIDPUR,N/A,9201505101
34384,P S GOVINDPUR,PRATAPGARH,AASPUR-DEOSARA,N/A,9430102301
34385,P S GOVINDPUR,BALLIA,SOHAWN,N/A,9631205503
34386,P S GOVINDPUR,PRATAPGARH,MANDHATA,N/A,9431001701
34387,P S GOVINDPUR,BALLIA,SEAR,N/A,9630107601
34388,P S GOVINDPUR,BALLIA,GARWAR,N/A,9631109501
34389,P S GOVINDPUR GANESHPUR,AMBEDKAR NAGAR,AKBARPUR,N/A,9480109201
34390,P S GOVRDHAN PAHAR,BALLIA,MURLI CHHAPRA,N/A,9631706402
34391,P S GOWARDHANPUR,PRATAPGARH,SHIVGARH,N/A,9431716402
34392,P S GUALI,BHADOI,ABHOLI,N/A,9710700301
34393,P S GUDUWAPUR,BAHRAICH,HUJUR PUR,N/A,9500606501
34394,P S GUGAL NAGARIYA,BAREILLY,BHUTA,N/A,9200302701
34395,P S GUHETIYA,ETAH,JAITHARA,N/A,9170505301
34396,P S GUJAR GAUTIYA,BAREILLY,FARIDPUR,N/A,9201503001
34397,P S GUJARHAIE,BAREILLY,KYARA,N/A,9200809101
34398,P S GUJAULI KHURD,BAHRAICH,FAKHAR PUR,N/A,9500310701
34399,P S GUJOLI KALAN,BAHRAICH,FAKHAR PUR,N/A,9500308802
34400,P S GUJRAHNA,BAHRAICH,MIHIN PURVA,N/A,9501112101
34401,P S GUJWAR,PRATAPGARH,BABAGANJ,N/A,9430202101
34402,P S GULAB GADHI,KASGANJ,SORON,N/A,9721507101
34403,P S GULAB NAGAR,BAREILLY,BHUTA,N/A,9200310901
34404,P S GULAB NAGAR GIRLS,BAREILLY,BAREILLY TOWN,N/A,9201903701
34405,P S GULAB NAGAR JHINJHARI,BAREILLY,KYARA,N/A,9200801303
34406,P S GULABPUR,ETAH,NIDHAULI KALAN,N/A,9170903901
34407,P S GULADIYA,BAREILLY,MIRGANJ,N/A,9200205601
34408,P S GULADIYA JAGAT,BAREILLY,BHUTA,N/A,9200314701
34409,P S GULADIYA MO HUSSAIN,BAREILLY,RICHHA(DAMKHODA),N/A,9200503301
34410,P S GULADIYA UPRALA,BAREILLY,MAJHGAWAN,N/A,9201005801
34411,P S GULAL GAON,BAHRAICH,BALHA,N/A,9501010501
34412,P S GULARIHA,BAHRAICH,NAWAB GANJ,N/A,9501206501
34413,P S GULAVALI,GAUTAM BUDDHA NAGAR,DANKAUR,N/A,9100313301
34414,P S GULAVATHI KHURD,GAUTAM BUDDHA NAGAR,DADRI,N/A,9100201901
34415,P S GULDAHAE,BAREILLY,BHADPURA,N/A,9200608201
34416,P S GULDIYA ARIL,BAREILLY,RAMNAGAR,N/A,9200102501
34417,P S GULDIYA DHIMAR,BAREILLY,NAWABGANJ,N/A,9200401301
34418,P S GULHARIA,BAHRAICH,KAISER GANJ,N/A,9500208201
34419,P S GULHARIYA,SHRAWASTI,HARIHARPUR RANI,N/A,9510210701
34420,P S GULISTANPUR,GAUTAM BUDDHA NAGAR,VISRAKH,N/A,9100104401
34421,P S GULJAR NAGAR,KANNAUJ,SAURIKH,N/A,9300501009
34422,P S GULNAR,PRATAPGARH,BABAGANJ,N/A,9430202001
34423,P S GULRA,PRATAPGARH,SHIVGARH,N/A,9431715701
34424,P S GULRIHA GAJIPUR,BAHRAICH,KAISER GANJ,N/A,9500207101
34425,P S GULRIHA KALAN,BAHRAICH,RISIA,N/A,9500900203
34426,P S GULSANA BAD,ETAH,ALIGANJ,N/A,9170115101
34427,P S GUMANI TOLA,BALLIA,BAIRIA,N/A,9631608501
34428,P S GUMMAUR,PRATAPGARH,LALGANJ,N/A,9430800602
34429,P S GUNA MAI,ETAH,ALIGANJ,N/A,9170110101
34430,P S GUNAH JAWAHAR,BAREILLY,RICHHA(DAMKHODA),N/A,9200511601
34431,P S GUNAR (C),KASGANJ,SAHAVAR,N/A,9721103801
34432,P S GUNPURA,GAUTAM BUDDHA NAGAR,DANKAUR,N/A,9100301401
34433,P S GUPLAPUR,BAREILLY,BHOJIPURA,N/A,9201110901
34434,P S GURAWA,BALLIA,HANUMANGANJ,N/A,9631304401
34435,P S GURDAS PURWA,BAHRAICH,BALHA,N/A,9501005301
34436,P S GURGAWAN,BAREILLY,MAJHGAWAN,N/A,9201008501
34437,P S GURGHUTTA,BAHRAICH,BALHA,N/A,9501003601
34438,P S GURGUJPUR,BALLIA,CHILKAHAR,N/A,9630402301
34439,P S GURGUJPURWA,BAHRAICH,SHIV PUR,N/A,9500506403
